name,ditensity,lon,lat
ชุมชนเย็นอากาศ 2,หนาแน่นมาก,100.551283,13.711385
ชุมชนเชื้อเพลิงพัฒนา,หนาแน่นปานกลาง,100.553059,13.711026
ชุมชนร่วมพัฒนาเชื้อเพลิง 2,หนาแน่นปานกลาง,100.550467,13.708045
ชุมชนคลองขวาง,หนาแน่นปานกลาง,100.549118,13.707035
ชุมชนวัดช่องลม,หนาแน่นปานกลาง,100.547879,13.705881
ชุมชนสามัคคีร่วมใจ,หนาแน่นปานกลาง,100.544914,13.698283
ชุมชนคาลเท็กซ์,หนาแน่นปานกลาง,100.547088,13.695886
ชุมชนร่วมพัฒนาวัดช่องนนทรี,หนาแน่นมาก,100.545899,13.691406
ชุมชนบัวหลวง,หนาแน่นมาก,100.544795,13.689569
ชุมชนซอยสรรค์สุข,หนาแน่นมาก,100.538901,13.689384
ชุมชนวัดคลองภูมิ,หนาแน่นมาก,100.545812,13.680135
ชุมชนข้างซอยพัฒนาการ 1,หนาแน่นมาก,100.529237,13.683741
ชุมชนปรีชา 1,หนาแน่นปานกลาง,100.534203,13.682538
ชุมชนเศตะพราหมณ์,หนาแน่นมาก,100.535409,13.683638
ชุมชนโสณมัยอร่ามดวง,หนาแน่นปานกลาง,100.529416,13.694608
ชุมชนคลองด่าน,หนาแน่นมาก,100.539026,13.676719
ชุมชนปากคลองช่องนนทรี,หนาแน่นปานกลาง,100.549166,13.694497
ชุมชนหลังสมาคมโรงเรียนไทย-ญี่ปุ่น,หนาแน่นปานกลาง,100.592733,13.761373
ชุมชนซอยรุ่งเรืองตอนปลาย,หนาแน่นมาก,100.575952,13.796208
ชุมชนริมคลองบางซื่อรัชดาภิเษก,หนาแน่นมาก,100.574986,13.796861
ชุมชนริมคลองบางซื่อ ลาดพร้าว 42-44,หนาแน่นมาก,100.581255,13.798157
ชุมชนริมคลองบางซื่อ ลาดพร้าว 46,หนาแน่นปานกลาง,100.584875,13.798909
ชุมชนลาดพร้าว 45,หนาแน่นปานกลาง,100.588808,13.800219
ชุมชนร่วมใจพิบูลย์ 2,หนาแน่นมาก,100.587864,13.79764
ชุมชนบึงพระราม 9 พัฒนา,หนาแน่นปานกลาง,100.601798,13.752611
ชุมชนบึงพระราม 9,หนาแน่นปานกลาง,100.602933,13.750966
ชุมชนซอยพัทลุง,หนาแน่นมาก,100.58383,13.795314
ชุมชนลาดพร้าว 80,หนาแน่นปานกลาง,100.5925,13.779798
ชุมชนริมคลองลาดพร้าว ประชาอุทิศ,หนาแน่นปานกลาง,100.594198,13.765709
ชุมชนเพชรบุรี 40,หนาแน่นปานกลาง,100.580957,13.745035
ชุมชนเพชรพระราม,หนาแน่นปานกลาง,100.598688,13.743708
ชุมชนโรงปูนฝั่งเหนือ,หนาแน่นปานกลาง,100.592457,13.745246
ชุมชนโรงปูนฝั่งใต้,หนาแน่นปานกลาง,100.592212,13.74442
ชุมชนหลังวัดบุญรอดธรรมาราม,หนาแน่นปานกลาง,100.592774,13.693814
ชุมชนหน้าวัดบุญรอดธรรมราม,หนาแน่นปานกลาง,100.593547,13.694148
